code,description,price,unit,bundle,minimum_sale
MEC090,"MECHA CONCRETO 3/8 X 12"" ( LARGA) DIN 8039 KIEFER","75,97",PZA,200,50
MEC091,"MECHA CONCRETO 1/2 X 12"" ( LARGA) DIN 8039 KIEFER","112,94",PZA,150,40
MEC092,"MECHA CONCRETO 5/16 X 12"" (LARGA) DIN 8039 KIEFER","53,98",PZA,200,50
MEC093,"MECHA CONCRETO 1/4 X 12"" (LARGA)  DIN 8039 KIEFER","41,12",PZA,400,50
MEC094,"MECHA CONCRETO 9/16  X 12"" (LARGA)  DIN 8039 KIEFER","123,34",PZA,100,50
MEC120,MECHA CONCRETO 5 PZAS (5/32 ~ 25/64) DIN 8039  KIEFER,"0,00",JGO,100,10
ROD021,"FUNDA-REPUESTO 2"" FOAM AMARILLO (TWIN PACK) RADIANT","29,61",JGO,600,600
ROD031,"FUNDA-REPUESTO 3"" FOAM AMARILLO (TWIN PACK) RADIANT","33,32",JGO,300,300
MEC037,MECHA HSS 29/64 DORADA DIN 338 KIEFER,"90,00",PZA,300,50
MEC025,MECHA HSS 3/16 DORADA DIN 338 KIEFER,"0,00",PZA,2000,100
MEC003,MECHA HSS 3/32 DORADA DIN 338 KIEFER,"7,00",PZA,5000,100
MEC071,MECHA HSS 3/64 DORADA DIN 338 KIEFER,"0,00",PZA,6000,100
MEC027,MECHA HSS 3/8 DORADA DIN 338 KIEFER,"0,00",PZA,500,50
MEC044,MECHA HSS 31/64 DORADA DIN 338 KIEFER,"0,00",PZA,300,50
MEC040,MECHA HSS 5/16 DORADA DIN 338 KIEFER,"33,99",PZA,1000,50
MEC018,MECHA HSS 5/32 DORADA DIN 338 KIEFER,"10,99",PZA,4000,100
MEC004,MECHA HSS 5/64 DORADA DIN 338 KIEFER,"0,00",PZA,5000,100
MEC012,MECHA HSS 7/16 DORADA DIN 338 KIEFER,"0,00",PZA,300,50
MEC007,MECHA HSS 7/32 DORADA DIN 338 KIEFER,"22,00",PZA,2000,100
MEC072,MECHA HSS 7/64 DORADA DIN 338 KIEFER,"8,00",PZA,5000,100
MEC008,MECHA HSS 9/32 DORADA DIN 338 KIEFER,"0,00",PZA,1000,50
MEC019,MECHA HSS 9/64 DORADA DIN 338 KIEFER,"10,99",PZA,4000,100
MEC098,MECHA HSS CALIBRADA (P/REMACHE)  1/8 DORADA KIEFER,"19,00",PZA,4000,200
MEC100,MECHA HSS CALIBRADA (P/REMACHE)  3/16 DORADA KIEFER,"31,99",PZA,4000,200
MEC099,MECHA HSS CALIBRADA (P/REMACHE)  5/32 DORADA KIEFER,"25,98",PZA,4000,200
MUL001,MULTITOMA TRIPLE C/TIERRA GREENHOSE UL,"0,00",PZA,144,144
PAL020,PALUSTRA GOMA PARA FRISAR 10 X 100 X 240 MM BUFFALO,"0,00",PZA,50,50
PAL008,PALUSTRA METAL DENTADA M/PLASTICO BUFFALO,"84,62",PZA,60,60
